Date,MARA,RIOT,SMCI,SOFI,RIVN
2022-07-19,58076500,35761600,3267000,21273600,16245000.0
2022-07-20,70804300,45561800,4790000,24765700,17831400.0
2022-07-21,31470900,27389100,21059000,19858400,24446800.0
2022-07-22,29213400,18291900,6217000,21258200,16935800.0
2022-07-25,16546800,13600600,4439000,14153800,9878500.0
2022-07-26,13455500,11404100,4050000,16325700,7838700.0
2022-07-27,31321000,18717900,4173000,17437400,10371200.0
2022-07-28,36781000,19581000,3801000,21965900,11384200.0
2022-07-29,31918900,14528900,5482000,19058700,12381200.0
2022-08-01,20688000,13572100,5303000,21109900,12399100.0
2022-08-02,23868600,16035900,4224000,49460900,13829400.0
2022-08-03,24463900,19769600,4398000,147719800,14243800.0
2022-08-04,27091800,20818500,5098000,61791900,12410200.0
2022-08-05,17207100,14090300,5736000,43574400,12314100.0
2022-08-08,19936600,16462200,7312000,56810700,16294800.0
2022-08-09,16261100,15041000,7538000,50017000,12904500.0
2022-08-10,32584700,23196000,17490000,51807800,15370300.0
2022-08-11,29953900,29449000,7553000,65326100,35949100.0
2022-08-12,17649100,15406500,10325000,35779800,39044000.0
2022-08-15,14104800,17073700,6417000,38003000,21310400.0
2022-08-16,17057400,19974000,5988000,56783500,17280500.0
2022-08-17,17188500,16838100,7222000,75554900,11716100.0
2022-08-18,10602400,8857400,11503000,38842700,8882200.0
2022-08-19,16042600,14486300,7269000,47048200,10999200.0
2022-08-22,11300100,12456400,8291000,41817600,11006300.0
2022-08-23,15897400,11776200,4169000,55901700,9766800.0
2022-08-24,12283100,9891700,7871000,114014000,9434100.0
2022-08-25,17280700,8564800,8134000,53630800,8968400.0
2022-08-26,20712100,13330800,7460000,74661000,10728700.0
2022-08-29,14423400,10890700,7657000,55367700,8517300.0
2022-08-30,12817200,10393300,8903000,38113900,8541000.0
2022-08-31,11566000,12051700,9380000,32515900,19332800.0
2022-09-01,10899800,10871900,8452000,34316400,10468500.0
2022-09-02,13466200,11208600,5792000,29739700,8869500.0
2022-09-06,18766000,16663700,5930000,28734800,24795700.0
2022-09-07,12185500,11032900,5778000,25290200,15105300.0
2022-09-08,19147800,19282900,3824000,38945300,44772000.0
2022-09-09,22814400,16446700,4571000,30872900,27096200.0
2022-09-12,19467800,14061400,5517000,28634000,20863000.0
2022-09-13,14978700,12389800,5031000,44931900,24593700.0
2022-09-14,9742100,9128100,4023000,62819300,24685800.0
2022-09-15,13775000,10339800,5366000,58733500,24202000.0
2022-09-16,14387900,15063900,7534000,44028900,70434800.0
